Date,,Payee,Amount,Memo,OrigPayee
9/20/2025,9/20/2025,HOTELES PETTRA SANTIAGO CL,-395.14,US DOLLAR 278.00 X 1.42136690,HOTELES PETTRA SANTIAGO CL
9/20/2025,9/20/2025,MP *UNCLE FLETCH SANTIAGO,-30.22,CL CL PESO 20240.00 X 0.00149308,MP *UNCLE FLETCH SANTIAGO
9/20/2025,9/20/2025,HAULMER*BAR FLAMA PROV,-44.62,SANTIAGO CL CL PESO 29880.00 X 0.00149330,HAULMER*BAR FLAMA PROV
9/20/2025,9/20/2025,MERPAGO*ESTACIONTROPE,-7.55,VITACURA RM CL PESO 5060.00 X 0.00149209,MERPAGO*ESTACIONTROPE
9/20/2025,9/20/2025,EVA RAFAEL VASQUEZ,-7.32,SANTIAGO 13 CL PESO 4900.00 X 0.00149387,EVA RAFAEL VASQUEZ
9/20/2025,9/20/2025,SDG  SANTIAGO  13,-14.93,CL PESO 10000.00 X 0.00149300,SDG  SANTIAGO  13
9/20/2025,9/20/2025,YONDER MEDIA MOBILE IN NEW,-12.63,YORK NY US DOLLAR 8.87 X 1.42390078,YONDER MEDIA MOBILE IN NEW
9/21/2025,9/21/2025,PUNTO COPEC TAMARUGAL,-1.86,SANTIAGO CL CL PESO 1250.00 X 0.00148800,PUNTO COPEC TAMARUGAL
9/21/2025,9/21/2025,COMERCIAL BWY LIMITADA,-589.77,SANTIAGO CL CL PESO 395000.00 X 0.00149308,COMERCIAL BWY LIMITADA
9/21/2025,9/21/2025,HOTEL NH C. DE SANTIAG,-216.66,SANTIAGO CL US DOLLAR 152.25 X 1.42305418,HOTEL NH C. DE SANTIAG
9/21/2025,9/21/2025,COMERCIAL BWY LIMITADA,-410.60,SANTIAGO CL CL PESO X 0.00149309 275000.00,COMERCIAL BWY LIMITADA
9/21/2025,9/21/2025,VA GANA*CALIFORNIA CAN,-44.41,SANTIAGO CL CL PESO 29748.00 X 0.00149287,VA GANA*CALIFORNIA CAN
9/21/2025,9/21/2025,ARAMCO ENEA SANTIAGO CL,-11.42,CL PESO 7650.00 X 0.00149281,ARAMCO ENEA SANTIAGO CL
9/21/2025,9/21/2025,ARAMCO ENEA SANTIAGO CL,-18.35,CL PESO X 0.00149356 12286.00,ARAMCO ENEA SANTIAGO CL
9/21/2025,9/21/2025,EUROPCAR TATTERSALL SANTIAGO,-440.60,CL CL PESO 295093.00 X 0.00149308,EUROPCAR TATTERSALL SANTIAGO
9/21/2025,9/21/2025,MC DONALDS SANTIAGO CL,-8.78,CL PESO 5880.00 X 0.00149319,MC DONALDS SANTIAGO CL
9/21/2025,9/21/2025,MERPAGO*DUNKIN LAMPA RM,-5.36,CL PESO 3590.00 X 0.00149303,MERPAGO*DUNKIN LAMPA RM
9/21/2025,9/21/2025,TABACO CO SPA  SANTIAGO,-29.86,13 CL PESO X 0.00149300 20000.00,TABACO CO SPA  SANTIAGO
9/21/2025,9/21/2025,CPK SCL  SANTIAGO  13,-72.45,CL PESO 48528.00 X 0.00149295,CPK SCL  SANTIAGO  13
9/21/2025,9/21/2025,RUMBO PLAZA CHILE T2,-134.38,SANTIAGO 13 CL PESO 90000.00 X 0.00149311,RUMBO PLAZA CHILE T2
